execution time              number of images                                date
1.5381700992584229                  35                              2019-12-01
0.2922096252441406                  11                              2019-12-01
1.0771217346191406                  50                              2019-12-01
0.0029587745666503906                   0                              2019-12-01
0.001999378204345703                   0                              2019-12-01
0.00096893310546875                   0                              2019-12-01
0.0019958019256591797                   0                              2019-12-01
0.0019669532775878906                   0                              2019-12-01
0.0019953250885009766                   0                              2019-12-01
0.0020275115966796875                   0                              2019-12-01
0.0040171146392822266                   0                              2019-12-01
0.0019998550415039062                   0                              2019-12-01
0.0020248889923095703                   0                              2019-12-01
0.0019936561584472656                   0                              2019-12-01
0.0020220279693603516                   0                              2019-12-01
5.635300636291504                 100                              2019-12-01
2.720841884613037                 100                              2019-12-01
2.9215662479400635                 100                              2019-12-01
